X,Y
726,128
746,125
743,125
745,123
703,136
704,135
715,138
715,138
703,138
702,134
701,137
678,192
678,192
723,185
685,199
681,195
694,204
654,226
654,226
649,270
657,182
649,197
624,215
648,229
662,229
671,218
673,212
676,208
674,207
668,209
668,209
671,210
670,209
669,209
669,210
668,210
669,208
669,209
683,201
545,233
545,232
548,238
555,231
563,240
566,238
572,230
568,229
567,231
559,239
561,223
562,224
565,221
567,221
566,220
566,220
568,236
566,236
564,239
566,238
567,242
563,239
569,233
570,229
571,236
558,230
580,228
596,212
603,207
628,187
645,187
646,187
663,192
687,192
815,207
820,211
815,211
814,207
751,187
751,187
754,167
749,156
752,150
754,147
760,147
528,209
525,237
523,249
523,246
521,244
508,316
508,316
533,273
415,273
415,273
415,273
417,274
420,274
421,274
425,269
410,268
411,269
418,269
436,266
459,256
494,250
521,244
528,241
542,239
541,240
541,240
538,239
538,234
538,239
537,238
543,241
544,241
544,241
539,249
539,241
542,239
542,239
538,239
539,243
539,242
536,234
540,235
539,236
535,237
538,236
538,236
542,239
534,236
541,241
542,243
536,242
538,250
537,249
538,250
537,250
539,252
539,252
538,251
539,249
554,250
586,248
587,248
588,244
588,245
588,245
587,245
588,244
587,243
587,244
587,243
586,244
586,244
586,245
585,244
585,245
585,245
587,245
588,245
587,245
587,245
644,250
615,239
615,239
611,242
606,242
577,214
571,207
559,163
552,151
554,142
537,133
535,140
534,142
533,155
566,157
583,156
664,155
691,149
693,149
700,152
695,153
691,154
688,154
694,157
700,156
710,163
645,165
630,161
602,151
540,169
542,168
544,171
545,169
553,166
556,165
557,170
565,170
578,170
581,169
587,163
592,160
594,162
595,161
595,160
596,161
595,161
587,163
587,163
591,158
608,158
615,159
615,159
620,156
623,157
617,154
623,157
621,156
622,156
621,154
621,158
615,158
617,158
621,156
623,157
614,155
614,155
617,158
618,157
614,156
612,153
613,151
622,157
620,155
618,155
617,153
617,153
620,152
621,153
622,150
622,150
641,150
641,147
647,152
649,153
649,152
649,152
650,147
648,152
649,153
648,152
648,150
648,149
648,150
648,149
648,149
649,150
664,163
649,156
651,155
652,154
654,154
656,154
656,155
656,154
655,155
654,154
654,155
654,155
656,157
657,156
657,156
657,156
657,156
657,156
657,156
657,156
656,156
656,156
656,156
656,156
655,156
655,156
655,156
655,157
655,157
655,157
655,157
654,157
653,157
652,157
652,157
646,157
638,157
624,158
620,157
602,158
590,157
592,156
594,157
600,161
609,161
608,158
611,157
611,157
613,156
612,157
612,156
615,156
615,155
617,159
620,157
620,156
619,157
615,161
613,164
609,162
610,161
611,160
611,161
610,160
611,158
612,161
610,161
610,161
610,159
610,159
608,159
610,163
610,165
610,164
609,160
608,159
609,160
610,161
610,161
611,162
609,161
609,160
610,162
613,165
615,162
616,161
615,159
613,158
614,159
614,159
613,155
613,160
611,162
606,154
606,154
609,155
608,155
607,154
609,155
608,156
606,159
605,159
605,161
606,160
605,160
604,159
604,158
608,169
606,166
605,162
605,162
605,159
605,159
604,160
604,160
604,160
604,159
605,160
605,160
605,160
604,158
615,153
613,150
614,151
611,148
613,148
614,158
612,157
612,153
615,154
613,151
613,151
616,154
618,152
618,152
617,149
617,153
619,152
615,149
626,147
625,146
624,146
624,145
617,158
618,156
616,153
618,155
616,153
616,152
618,153
616,152
616,147
623,146
622,145
618,143
616,145
615,145
618,147
614,146
614,146
614,146
611,143
616,144
612,142
610,151
609,151
608,150
611,150
608,150
607,150
608,151
608,150
607,150
607,150
606,154
592,167
591,158
585,153
584,159
585,148
585,148
588,154
585,153
589,153
586,157
589,150
599,140
602,137
604,138
604,139
602,140
602,139
601,138
603,136
603,138
598,130
589,116
586,117
570,115
563,115
561,117
569,129
583,135
592,135
583,151
596,157
619,150
619,150
601,154
601,154
606,162
612,162
613,163
622,169
624,170
624,170
579,112
413,107
412,107
412,107
451,103
452,100
455,103
456,103
457,100
462,106
463,106
463,104
458,107
456,108
453,107
